word,value,hand
arnotto,7,anoortt
aroints,7,ainorst
arollas,7,aallors
arousal,7,aalorsu
aroused,8,adeorsu
arouser,7,aeorrsu
arouses,7,aeorssu
aroynts,10,anorsty
arpents,9,aenprst
arracks,13,aackrrs
arraign,8,aaginrr
arrange,8,aaegnrr
arrased,8,aaderrs
arrases,7,aaerrss
arrayal,10,aaalrry
arrayed,11,aaderry
arrayer,10,aaerrry
arrears,7,aaerrrs
arreede,8,adeeerr
arrests,7,aerrsst
arriage,8,aaegirr
arriere,7,aeeirrr
arrises,7,aeirrss
arrival,10,aailrrv
arrived,11,adeirrv
arrives,10,aeirrsv
arrobas,9,aaborrs
arroyos,10,aoorrsy
arsenal,7,aaelnrs
arsenic,9,aceinrs
arsheen,10,aeehnrs
arshine,10,aehinrs
arshins,10,ahinrss
arsines,7,aeinrss
article,9,aceilrt
artiest,7,aeirstt
artisan,7,aainrst
artiste,7,aeirstt
artists,7,airsstt
artless,7,aelrsst
artsman,9,aamnrst
artwork,14,akorrtw
arugula,8,aaglruu
asarums,9,aamrssu
ascarid,10,aacdirs
ascaris,9,aacirss
ascends,10,acdenss
ascents,9,acensst
ascesis,9,aceisss
ascetic,11,acceist
ascians,9,aacinss
ascidia,10,aacdiis
ascites,9,aceisst
ascitic,11,acciist
ascribe,11,abceirs
asepses,9,aeepsss
asepsis,9,aeipsss
aseptic,11,aceipst
asexual,14,aaelsux
ashamed,13,aadehms
ashiest,10,aehisst
ashiver,13,aehirsv
ashlars,10,aahlrss
ashlers,10,aehlrss
ashrama,12,aaahmrs
ashrams,12,aahmrss
asinine,7,aeiinns
askance,13,aacekns
askaris,11,aaikrss
askesis,11,aeiksss
asklent,11,aeklnst
asocial,9,aacilos
aspects,11,acepsst
asperge,10,aeegprs
asperse,9,aeeprss
asphalt,12,aahlpst
asphyxy,25,ahpsxyy
aspidia,10,aadiips
aspired,10,adeiprs
aspires,9,aeiprss
aspirin,9,aiinprs
asprawl,12,aalprsw
aspread,10,aadeprs
asprout,9,aoprstu
asquint,16,ainqstu
assagai,8,aaagiss
assails,7,aailsss
assault,7,aalsstu
assayed,11,aadessy
assayer,10,aaerssy
assegai,8,aaegiss
assents,7,aenssst
asserts,7,aerssst
asshole,10,aehloss
assiege,8,aeegiss
assigns,8,aginsss
assists,7,aisssst
assized,17,adeissz
assizer,16,aeirssz
assizes,16,aeisssz
assoils,7,ailosss
assorts,7,aorssst
assuage,8,aaegssu
assumed,10,ademssu
assumes,9,aemsssu
assured,8,aderssu
assurer,7,aerrssu
assures,7,aersssu
asswage,11,aaegssw
astable,9,aabelst
astatic,9,aacistt
astatki,11,aaikstt
asteism,9,aeimsst
astelic,9,aceilst
asteria,7,aaeirst
asthore,10,aehorst
astilbe,9,abeilst
astound,8,adnostu
astrand,8,aadnrst
astrict,9,acirstt
astride,8,adeirst
astroid,8,adiorst
astuter,7,aersttu
astylar,10,aalrsty
asudden,9,addensu
asunder,8,adenrsu
asylums,12,almssuy
atabals,9,aaablst
atabegs,10,aabegst
atabeks,13,aabekst
atactic,11,aaccitt
ataghan,11,aaaghnt
atalaya,10,aaaalty
atamans,9,aaamnst
ataraxy,17,aaartxy
atavism,12,aaimstv
atebrin,9,abeinrt
atelier,7,aeeilrt
athanor,10,aahnort
atheise,10,aeehist
atheism,12,aehimst
atheist,10,aehistt
atheize,19,aeehitz
atheous,10,aehostu
athirst,10,ahirstt
athlete,10,aeehltt
athrill,10,ahillrt
athwart,13,aahrttw
atingle,8,aegilnt
atishoo,10,ahioost
atlases,7,aaelsst
atlatls,7,aallstt
atokous,11,akoostu
atomies,9,aeimost
atomise,9,aeimost
atomism,11,aimmost
atomist,9,aimostt
atomize,18,aeimotz
atoners,7,aenorst
atoning,8,aginnot
atopies,9,aeiopst
atresia,7,aaeirst
atriums,9,aimrstu
atrophy,15,ahoprty
atropia,9,aaioprt
atropin,9,ainoprt
attaboy,12,aabotty
attache,12,aacehtt
attacks,13,aackstt
attains,7,aainstt
attaint,7,aainttt
attempt,11,aempttt
attends,8,adenstt
attests,7,aessttt
attired,8,adeirtt
attires,7,aeirstt
attorns,7,anorstt
attract,9,aacrttt
attraps,9,aaprstt
attrist,7,airsttt
attrite,7,aeirttt
attrits,7,airsttt
attuned,8,adenttu
attunes,7,aensttu
atweels,10,aeelstw
aubades,10,aabdesu
auberge,10,abeegru
auction,9,acinotu
aucubas,11,aabcsuu
audible,10,abdeilu
audibly,13,abdiluy
audient,8,adeintu
audiles,8,adeilsu
audited,9,addeitu
auditor,8,adiortu
augitic,10,acgiitu
augment,10,aegmntu
augural,8,aaglruu
augured,9,adegruu
augurer,8,aegrruu
auguste,8,aegstuu
augusts,8,agsstuu
auklets,11,aeklstu
auldest,8,adelstu
aumails,9,aailmsu
aunties,7,aeinstu
aurally,10,aallruy
aurated,8,aadertu
aurates,7,aaerstu
aureate,7,aaeertu
aureity,10,aeirtuy
aurelia,7,aaeilru
aureola,7,aaeloru
aureole,7,aeeloru
auricle,9,aceilru
aurists,7,airsstu
aurochs,12,achorsu
aurorae,7,aaeorru
auroral,7,aalorru
auroras,7,aaorrsu
auspice,11,aceipsu
austere,7,aeerstu
austral,7,aalrstu
autarky,14,aakrtuy
auteurs,7,aerstuu
authors,10,ahorstu
autobus,9,abostuu
autocar,9,aacortu
autocue,9,aceotuu
automat,9,aamottu
autonym,12,amnotuy
autopsy,12,aopstuy
autumns,9,amnstuu
autumny,12,amntuuy
auxesis,14,aeissux
auxetic,16,aceitux
availed,11,aadeilv
avarice,12,aaceirv
avatars,10,aaarstv
avaunts,10,aanstuv
avenged,12,adeegnv
avenger,11,aeegnrv
avenges,11,aeegnsv
avenses,10,aeenssv
aventre,10,aeenrtv
avenues,10,aeensuv
average,11,aaeegrv
averred,11,adeerrv
averted,11,adeertv
aviated,11,aadeitv
aviates,10,aaeistv
aviator,10,aaiortv
avidest,11,adeistv
avidins,11,adiinsv
avidity,14,adiitvy
avionic,12,aciinov
avising,11,agiinsv
avizing,20,agiinvz
avocado,13,aacdoov
avocets,12,aceostv
avoided,12,addeiov
avosets,10,aeosstv
avowals,13,aalosvw
avowers,13,aeorsvw
avowing,14,aginovw
avoyers,13,aeorsvy
avulsed,11,adelsuv
avulses,10,aelssuv
awaited,11,aadeitw
awakens,14,aaeknsw
awaking,15,aagiknw
awarded,12,aadderw
awarest,10,aaerstw
awarned,11,aadenrw
aweless,10,aeelssw
awesome,12,aeemosw
awfully,16,aflluwy
awhaped,16,aadehpw
awhapes,15,aaehpsw
awheels,13,aeehlsw
awkward,18,aadkrww
awlbird,13,abdilrw
awniest,10,aeinstw
awnings,11,aginnsw
awnless,10,aelnssw
awriest,10,aeirstw
axially,17,aaillxy
axillae,14,aaeillx
axillar,14,aaillrx
axinite,14,aeiintx
axolotl,14,allootx
azaleas,16,aaaelsz
azimuth,21,ahimtuz
aziones,16,aeinosz
azotise,16,aeiostz
azotize,25,aeiotzz
azotous,16,aoostuz
